,Unnamed: 0,client_accuracy_1,client_accuracy_3,client_accuracy_0,client_accuracy_2,client_accuracy_4,client_loss_1,client_loss_3,client_loss_0,client_loss_2,client_loss_4,client_accuracy_per_epoch1,client_accuracy_per_epoch3,client_accuracy_per_epoch0,client_accuracy_per_epoch2,client_accuracy_per_epoch4,client_loss_per_epoch1,client_loss_per_epoch3,client_loss_per_epoch0,client_loss_per_epoch2,client_loss_per_epoch4,client_attack_1,client_attack_3,client_attack_0,client_attack_2,client_attack_4,client_auc_1,client_auc_3,client_auc_0,client_auc_2,client_auc_4,server_attack,server_accuracy,server_auc,client_layer_leakage_1,client_layer_leakage_3,client_layer_leakage_0,client_layer_leakage_2,client_layer_leakage_4,server_layer_leakage,client_round_duration_1,client_round_duration_3,client_round_duration_0,client_round_duration_2,client_round_duration_4,client_transformation_time_0,client_transformation_time_1,client_transformation_time_2,client_transformation_time_3,client_transformation_time_4,client_transformation_time_5,client_transformation_time_6,client_transformation_time_7,client_transformation_time_8,client_transformation_time_9,server_aggregation_duration,server_model_parameters_memory_usage,server_data_parameters_memory_usage,server_transformation_time
0,0,53.22877360325628,43.564534984847185,37.61407144011085,41.99119608762195,38.38208084707486,,,,,,"[47.333333333333336, 60.66666666666667, 64.66666666666666, 67.33333333333333, 53.026666666666664]","[43.333333333333336, 56.666666666666664, 50.0, 43.333333333333336, 43.29333333333334]","[12.23021582733813, 33.093525179856115, 30.215827338129497, 35.25179856115108, 37.76]","[77.03703703703704, 74.07407407407408, 80.74074074074075, 82.22222222222221, 42.29333333333333]","[84.7457627118644, 74.57627118644068, 83.05084745762711, 86.4406779661017, 37.21333333333333]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2182,0.0,{},{},{},{},{},{},38.02554821968079,7.615902423858643,33.76689291000366,32.701051235198975,12.321648120880129,0,0,0,0,0,0,0,0,0,0,0.0603423118591308,,,0
1,1,52.58877360325629,48.69786831818052,36.01407144011084,46.01786275428862,51.9554141804082,,,,,,"[56.666666666666664, 68.0, 70.0, 71.33333333333334, 52.38666666666667]","[43.333333333333336, 60.0, 66.66666666666666, 46.666666666666664, 48.42666666666667]","[33.093525179856115, 38.1294964028777, 39.568345323741006, 38.1294964028777, 36.16]","[74.07407407407408, 81.48148148148148, 82.96296296296296, 85.18518518518519, 46.32]","[84.7457627118644, 67.79661016949152, 84.7457627118644, 74.57627118644068, 50.78666666666667]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3456,0.0,{},{},{},{},{},{},38.85767889022827,7.687620401382446,34.73954939842224,32.749929666519165,12.623523235321043,0,0,0,0,0,0,0,0,0,0,0.0619111061096191,,,0
2,2,60.96210693658963,56.29786831818052,35.17407144011085,51.537862754288625,50.74208084707487,,,,,,"[70.0, 73.33333333333333, 74.66666666666667, 70.0, 60.760000000000005]","[66.66666666666666, 80.0, 63.33333333333333, 76.66666666666667, 56.02666666666667]","[27.33812949640288, 37.410071942446045, 46.043165467625904, 37.410071942446045, 35.32]","[84.44444444444444, 87.4074074074074, 86.66666666666667, 84.44444444444444, 51.839999999999996]","[84.7457627118644, 88.13559322033898, 88.13559322033898, 93.22033898305084, 49.57333333333334]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2999,0.0,{},{},{},{},{},{},37.65431475639343,7.671945333480835,33.53601551055908,32.030391454696655,12.364786624908447,0,0,0,0,0,0,0,0,0,0,0.0570631027221679,,,0
3,3,58.73544026992296,57.924534984847185,43.8807381067775,51.284529420955295,57.98208084707487,,,,,,"[69.33333333333334, 74.0, 72.0, 74.0, 58.53333333333334]","[73.33333333333333, 70.0, 76.66666666666667, 76.66666666666667, 57.653333333333336]","[43.884892086330936, 42.44604316546763, 53.956834532374096, 51.07913669064749, 44.026666666666664]","[71.11111111111111, 79.25925925925927, 88.14814814814815, 87.4074074074074, 51.58666666666667]","[86.4406779661017, 88.13559322033898, 83.05084745762711, 79.66101694915254, 56.81333333333334]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4837,0.0,{},{},{},{},{},{},38.36343169212341,7.706038475036621,33.41796326637268,33.139140129089355,12.375293254852297,0,0,0,0,0,0,0,0,0,0,0.059258222579956,,,0
4,4,56.74877360325629,59.48453498484718,40.98740477344418,53.01786275428862,58.288747513741534,,,,,,"[76.66666666666667, 72.0, 76.0, 80.0, 56.54666666666667]","[83.33333333333334, 66.66666666666666, 83.33333333333334, 83.33333333333334, 59.21333333333333]","[49.64028776978417, 53.23741007194245, 51.798561151079134, 52.51798561151079, 41.13333333333333]","[73.33333333333333, 81.48148148148148, 80.0, 81.48148148148148, 53.32]","[81.35593220338984, 84.7457627118644, 89.83050847457628, 86.4406779661017, 57.120000000000005]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6114,0.0,{},{},{},{},{},{},38.29663562774658,7.9565229415893555,34.2427875995636,32.90443778038025,12.537864923477173,0,0,0,0,0,0,0,0,0,0,0.0585274696350097,,,0
5,5,63.72210693658962,57.15120165151385,49.96073810677751,47.88452942095529,49.87541418040819,,,,,,"[76.66666666666667, 76.66666666666667, 85.33333333333334, 82.66666666666667, 63.519999999999996]","[56.666666666666664, 83.33333333333334, 83.33333333333334, 86.66666666666667, 56.879999999999995]","[48.92086330935252, 49.64028776978417, 56.11510791366906, 59.71223021582733, 50.10666666666667]","[84.44444444444444, 90.37037037037037, 94.07407407407408, 91.85185185185185, 48.18666666666667]","[83.05084745762711, 86.4406779661017, 83.05084745762711, 76.27118644067797, 48.70666666666666]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6557,0.0,{},{},{},{},{},{},38.35603857040405,7.804160833358765,33.753491163253784,32.567976236343384,12.500060081481934,0,0,0,0,0,0,0,0,0,0,0.0572161674499511,,,0
6,6,64.33544026992296,63.1245349848472,42.42740477344418,53.764529420955284,59.52874751374153,,,,,,"[70.0, 72.0, 78.0, 82.66666666666667, 64.13333333333333]","[80.0, 83.33333333333334, 80.0, 90.0, 62.85333333333334]","[46.043165467625904, 50.35971223021583, 59.71223021582733, 56.83453237410072, 42.57333333333334]","[90.37037037037037, 91.11111111111111, 94.07407407407408, 93.33333333333333, 54.06666666666666]","[86.4406779661017, 93.22033898305084, 89.83050847457628, 93.22033898305084, 58.36]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6622,0.0,{},{},{},{},{},{},38.13055610656738,7.770152568817139,33.62587332725525,32.57546854019165,12.430352926254272,0,0,0,0,0,0,0,0,0,0,0.0578517913818359,,,0
7,7,62.082106936589625,63.2845349848472,48.134071440110844,58.44452942095529,57.54208084707486,,,,,,"[76.66666666666667, 82.0, 88.0, 82.66666666666667, 61.88]","[90.0, 70.0, 93.33333333333333, 83.33333333333334, 63.013333333333335]","[48.201438848920866, 57.55395683453237, 59.71223021582733, 59.71223021582733, 48.28]","[88.14814814814815, 89.62962962962962, 90.37037037037037, 91.85185185185185, 58.74666666666667]","[84.7457627118644, 94.91525423728814, 84.7457627118644, 91.52542372881356, 56.37333333333333]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6728,0.0,{},{},{},{},{},{},37.80077505111694,8.236360311508179,34.645861864089966,32.39251780509949,12.785826444625854,0,0,0,0,0,0,0,0,0,0,0.0630626678466796,,,0
8,8,63.68210693658961,63.11120165151385,51.82740477344419,55.92452942095529,58.84874751374153,,,,,,"[76.0, 86.0, 85.33333333333334, 86.0, 63.480000000000004]","[93.33333333333333, 86.66666666666667, 86.66666666666667, 90.0, 62.839999999999996]","[51.07913669064749, 59.71223021582733, 59.71223021582733, 69.06474820143885, 51.973333333333336]","[94.81481481481482, 95.55555555555556, 95.55555555555556, 92.5925925925926, 56.22666666666667]","[93.22033898305084, 93.22033898305084, 94.91525423728814, 96.61016949152543, 57.68]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6745,0.0,{},{},{},{},{},{},39.01649427413941,8.388092994689941,34.077253103256226,32.7603600025177,12.622637510299684,0,0,0,0,0,0,0,0,0,0,0.0590457916259765,,,0
9,9,63.94877360325628,61.31120165151386,48.73407144011085,53.284529420955295,59.222080847074864,,,,,,"[82.0, 80.66666666666666, 86.0, 86.0, 63.74666666666666]","[83.33333333333334, 80.0, 76.66666666666667, 90.0, 61.040000000000006]","[58.992805755395686, 56.11510791366906, 70.50359712230215, 65.46762589928058, 48.88]","[96.29629629629629, 95.55555555555556, 95.55555555555556, 97.03703703703704, 53.58666666666667]","[96.61016949152543, 96.61016949152543, 98.30508474576271, 96.61016949152543, 58.053333333333335]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6801,0.0,{},{},{},{},{},{},38.24592137336731,8.046603679656982,34.85200905799866,32.53167152404785,12.668341159820557,0,0,0,0,0,0,0,0,0,0,0.0572998523712158,,,0
